,SYSTEM,VINA,NNSCORE,DLSCORE,-logKi/Kd
0,1a4k,-9.42802,6.198657772373638,8.006946325302124,8.0
1,1a4w,-8.611139999999999,7.736511203809763,8.428380680084228,5.92
2,1a69,-8.79036,6.881426482810989,5.159211206436157,5.3
3,1a99,-4.2125900000000005,5.875002786549874,6.7339271068572994,5.7
4,1aaq,-7.669,7.3921114076802406,8.1236065864563,8.4
5,1adl,-5.72119,7.116765780989388,7.306778526306152,5.36
6,1ai4,-5.48947,2.982807874434092,4.138945746421814,2.5
7,1ai5,-6.220680000000001,2.9843579008293397,4.045529699325561,3.72
8,1ai7,-5.15991,3.0853082858834258,3.7850832462310793,4.09
9,1aid,-6.44842,3.3755926812694623,5.4704856872558585,4.82
10,1aj7,-7.15689,3.9882570248749096,5.340405797958374,3.87
11,1ajn,-5.44146,4.265789128895664,3.7372553348541264,2.63
12,1ajp,-5.17539,2.905147227219631,3.6190255403518683,2.23
13,1ajq,-5.01612,2.756297813911918,4.100150609016419,4.31
14,1ajv,-11.3964,6.316004109897128,8.151501893997192,7.72
15,1ajx,-11.53863,9.166504885940657,9.115475463867188,7.91
16,1ax0,-4.95742,2.6581731050056545,3.585257744789124,3.13
17,1b05,-7.346439999999999,6.471605479630048,6.438697147369385,7.12
18,1b0h,-9.673689999999999,8.208318797741581,6.943540954589844,6.7
19,1b1h,-8.66483,6.155792519029798,6.699676942825318,7.03
20,1b40,-8.909419999999999,6.530999646976183,6.734852313995361,7.28
21,1b46,-8.4044,6.400778033153284,6.6122978210449235,5.28
22,1b4h,-7.528169999999999,6.9513010659425465,6.088145589828491,5.46
23,1b6h,-7.51444,6.370363954135405,6.595268249511719,7.82
24,1b6k,-10.466439999999999,7.448222051663087,9.022473907470703,8.74
25,1b7h,-7.8273399999999995,6.688017754408915,6.742210483551025,8.02
26,1b9j,-7.7448,6.755188197691457,6.741223335266112,5.96
27,1bcu,-6.5655399999999995,3.289118860426829,4.806955909729004,3.28
28,1bdq,-8.317689999999999,6.938776483955957,8.95233507156372,6.34
29,1bgq,-8.65223,5.5995687753530925,7.654933023452759,8.57
30,1bhf,-5.75471,6.0928370274896055,5.141182470321655,4.38
31,1bhx,-8.864339999999999,7.580929297766668,7.09072265625,6.84
32,1bju,-7.65147,5.812592920592829,5.5255261898040775,4.8
33,1bjv,-7.28149,5.0534259371609815,5.450972366333008,5.54
34,1bp0,-7.483219999999999,7.310476467003257,5.711942768096924,5.4
35,1bq4,-6.713139999999999,6.1590138285969855,4.815701866149904,5.22
36,1br6,-8.32063,6.007998279427168,4.67688512802124,3.22
37,1bv7,-13.998479999999999,9.850431546626993,9.660795021057131,10.3
38,1bv9,-13.55604,8.174891994924996,9.824604320526124,9.96
39,1bwa,-13.188189999999999,8.445473808740983,9.706139278411863,8.6
